Action;Type;DoType;DoEntete;DE_No;DoDomaine;AR_Ref;Qte;Prix;Remise;Montant;Date;User;cbMarq;tables;cbCreateur
ajout_ligne;Vente;6;FVA007802;4;0;10263512;5.00;1000.;0;1000.;2020-10-14 16:50:39;20;339607;F_DOCLIGNE;20;2020-10-14
ajout_ligne;Artstock;;;4;;10263512;500.000000;;;178435.000000;2020-10-14 16:50:39;;38296;F_ARTSTOCK;AND ;NULL
ajout_ligne;Artstock;;;4;;10263512;495.000000;;;176650.650000;2020-10-14 16:50:39;;38296;F_ARTSTOCK;20  ;NULL
Ajout Règlement;;;;;;;;;;5000.00;2020-10-14 16:51:32;20;67673;F_ARTSTOCK;20;2020-10-14
ajout_ligne;Vente;6;FAC000392;1;0;MAT0001;1.;1666.67;0;1666.67;2020-10-27 10:41:30;3;13366;F_DOCLIGNE;3;2020-10-27
ajout_ligne;Artstock;;;1;;MAT0001;5784.000000;;;10445904.000000;2020-10-27 10:41:30;;155;F_ARTSTOCK;13  ;NULL
ajout_ligne;Artstock;;;1;;MAT0001;5783.000000;;;10444098.000000;2020-10-27 10:41:31;;155;F_ARTSTOCK;3   ;NULL
suppr_ligne;Vente;6;FAC000392;1;0;MAT0001;1.000000;1666.670000;.000000;1666.670000;2020-10-27 10:41:37;3;13366;F_DOCLIGNE;3   ;2020-10-27 00:00:00
suppr_ligne;Artstock;;;1;;MAT0001;5783.000000;;;10444098.000000;2020-10-27 10:41:38;;155;F_ARTSTOCK;3   ;NULL
suppr_ligne;Artstock;;;1;;MAT0001;5784.000000;;;10445904.000000;2020-10-27 10:41:38;;155;F_ARTSTOCK;3   ;NULL
Ajout Règlement;;;;;;;;;;66500.00;2020-11-04 12:49:58;25;34600;F_ARTSTOCK;25;2020-11-04
ajout_ligne;Vente;6;FVSI06841;2;0;30910009;6.;2055.56;0;2055.56;2021-01-01 21:05:49;58;339800;F_DOCLIGNE;58;2021-01-01
ajout_ligne;Artstock;;;2;;30910009;26.000000;;;21962.200000;2021-01-01 21:05:49;;34470;F_ARTSTOCK;55  ;NULL
ajout_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-01 21:05:50;;34470;F_ARTSTOCK;58  ;NULL
modif_ligne;Vente;6;FVSI06841;2;0;30910009;2.00;2055.56;0;4111.1199999999999;2021-01-01 21:06:11;58;339800;F_DOCLIGNE;58  ;2021-01-01 00:00:00
modif_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-01 21:06:12;;34470;F_ARTSTOCK;58  ;NULL
modif_ligne;Artstock;;;2;;30910009;24.000000;;;20272.800000;2021-01-01 21:06:12;;34470;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;4111.12;2021-01-01 21:32:33;58;67798;F_ARTSTOCK;58;2021-01-01
ajout_ligne;Vente;6;FVO001763;13;0;30910002;7.;2055.56;0;2055.56;2021-01-04 21:55:35;16;340800;F_DOCLIGNE;16;2021-01-04
ajout_ligne;Artstock;;;13;;30910002;57.000000;;;40641.000000;2021-01-04 21:55:35;;38980;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;13;;30910002;50.000000;;;35650.000000;2021-01-04 21:55:35;;38980;F_ARTSTOCK;16  ;NULL
Ajout Règlement;;;;;;;;;;14388.92;2021-01-04 21:56:09;16;67799;F_ARTSTOCK;16;2021-01-04
ajout_ligne;Vente;6;FVSI06842;2;0;30910009;4.;2055.56;0;2055.56;2021-01-05 08:21:43;58;340801;F_DOCLIGNE;58;2021-01-05
ajout_ligne;Artstock;;;2;;30910009;24.000000;;;20272.800000;2021-01-05 08:21:43;;34470;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-05 08:21:43;;34470;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;8222.24;2021-01-05 08:22:17;58;67800;F_ARTSTOCK;58;2021-01-05
ajout_ligne;Vente;6;FVSI06843;2;0;30910002;10.;2055.56;0;2055.56;2021-01-16 08:09:47;58;340803;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;30910002;61.000000;;;43493.000000;2021-01-16 08:09:47;;38932;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;2;;30910002;51.000000;;;36363.000000;2021-01-16 08:09:47;;38932;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;1000.00;2021-01-16 08:15:36;58;67804;F_ARTSTOCK;58;2021-01-16
ajout_ligne;;20;ME0000525;0;2;000001C;4000.00;0;0;0;2021-01-16 10:53:30;58;340804;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-16 10:53:30;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.00;3000.00;0;3000.00;2021-01-16 10:54:53;58;340805;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-16 10:54:53;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3999.000000;;;19995000.000000;2021-01-16 10:54:53;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;3.00;3000.00;0;3000.00;2021-01-16 11:41:02;58;340806;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3999.000000;;;19995000.000000;2021-01-16 11:41:02;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-16 11:41:03;;49523;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;450000.00;2021-01-16 13:24:57;58;67805;F_ARTSTOCK;58;2021-01-16
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.;16500.00;0;16500.00;2021-01-18 02:21:16;58;340807;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-18 02:21:16;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-18 02:21:16;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.00;12000.;0;12000.;2021-01-18 02:21:32;58;340808;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-18 02:21:32;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-18 02:21:32;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06846;1;0;30910004;10.;2055.56;0;2055.56;2021-01-18 14:03:10;58;340809;F_DOCLIGNE;58;2021-01-18
ajout_ligne;Artstock;;;1;;30910004;3500.000000;;;2639805.000000;2021-01-18 14:03:10;;38886;F_ARTSTOCK;AND ;NULL
ajout_ligne;Artstock;;;1;;30910004;3490.000000;;;2632262.700000;2021-01-18 14:03:10;;38886;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06846;1;0;30910004;10.;2055.56;0;2055.56;2021-01-18 14:04:07;58;340810;F_DOCLIGNE;58;2021-01-18
ajout_ligne;Artstock;;;1;;30910004;3490.000000;;;2632262.700000;2021-01-18 14:04:07;;38886;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;1;;30910004;3480.000000;;;2624720.400000;2021-01-18 14:04:07;;38886;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;11.;2000.00;0;2000.00;2021-01-18 14:07:49;58;340811;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-18 14:07:49;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3983.000000;;;19915000.000000;2021-01-18 14:07:49;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;10.00;2000.00;0;2000.00;2021-01-18 14:09:33;58;340812;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3983.000000;;;19915000.000000;2021-01-18 14:09:33;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3973.000000;;;19865000.000000;2021-01-18 14:09:33;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;10.;2000.00;0;2000.00;2021-01-18 14:10:21;58;340813;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3973.000000;;;19865000.000000;2021-01-18 14:10:21;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3963.000000;;;19815000.000000;2021-01-18 14:10:21;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;1.000000;3000.000000;.000000;3000.000000;2021-01-18 14:10:31;58;340805;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3963.000000;;;19815000.000000;2021-01-18 14:10:31;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3964.000000;;;19820000.000000;2021-01-18 14:10:31;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;3.000000;9000.000000;.000000;9000.000000;2021-01-18 14:10:34;58;340806;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3964.000000;;;19820000.000000;2021-01-18 14:10:34;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3967.000000;;;19835000.000000;2021-01-18 14:10:34;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;1.000000;16500.000000;.000000;16500.000000;2021-01-18 14:10:36;58;340807;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3967.000000;;;19835000.000000;2021-01-18 14:10:36;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3968.000000;;;19840000.000000;2021-01-18 14:10:36;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;1.000000;12000.000000;.000000;12000.000000;2021-01-18 14:10:39;58;340808;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3968.000000;;;19840000.000000;2021-01-18 14:10:39;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3969.000000;;;19845000.000000;2021-01-18 14:10:39;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;11.000000;22000.000000;.000000;22000.000000;2021-01-18 14:10:41;58;340811;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3969.000000;;;19845000.000000;2021-01-18 14:10:41;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3980.000000;;;19900000.000000;2021-01-18 14:10:41;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;10.000000;20000.000000;.000000;20000.000000;2021-01-18 14:10:43;58;340812;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3980.000000;;;19900000.000000;2021-01-18 14:10:43;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-18 14:10:43;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;11.00;12000.00;0;12000.00;2021-01-18 14:49:19;58;340814;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-18 14:49:19;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3979.000000;;;19895000.000000;2021-01-18 14:49:19;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;10.00;1000.;0;1000.;2021-01-18 23:11:22;58;340815;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3979.000000;;;19895000.000000;2021-01-18 23:11:22;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3969.000000;;;19845000.000000;2021-01-18 23:11:23;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;11.000000;132000.000000;.000000;132000.000000;2021-01-18 23:11:43;58;340814;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3969.000000;;;19845000.000000;2021-01-18 23:11:43;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3980.000000;;;19900000.000000;2021-01-18 23:11:43;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;10.000000;10000.000000;.000000;10000.000000;2021-01-18 23:11:48;58;340815;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3980.000000;;;19900000.000000;2021-01-18 23:11:48;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-18 23:11:48;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;10.000000;20000.000000;.000000;20000.000000;2021-01-18 23:11:53;58;340813;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-18 23:11:53;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-18 23:11:53;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;1000.00;0;1000.00;2021-01-18 23:14:25;58;340816;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-18 23:14:25;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-18 23:14:25;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;11000.00;0;11000.00;2021-01-19 04:32:51;58;340817;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-19 04:32:51;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-19 04:32:51;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06847;2;0;30910002;10.;2055.56;0;2055.56;2021-01-19 04:45:25;58;340818;F_DOCLIGNE;58;2020-09-29
ajout_ligne;Artstock;;;2;;30910002;51.000000;;;36363.000000;2021-01-19 04:45:25;;38932;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;30910002;41.000000;;;29233.000000;2021-01-19 04:45:25;;38932;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06848;2;0;030910010;10.;2375.00;0;2375.00;2021-01-19 04:46:12;58;340819;F_DOCLIGNE;58;2020-09-29
ajout_ligne;Artstock;;;2;;030910010;114.000000;;;115592.520000;2021-01-19 04:46:12;;24854;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;2;;030910010;104.000000;;;105452.830000;2021-01-19 04:46:12;;24854;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06849;2;0;30910026;10.;2315.79;0;2315.79;2021-01-19 04:46:37;58;340820;F_DOCLIGNE;58;2020-09-29
ajout_ligne;Artstock;;;2;;30910026;151.000000;;;170283.400000;2021-01-19 04:46:37;;33430;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;2;;30910026;141.000000;;;159006.350000;2021-01-19 04:46:37;;33430;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;90622.00;2021-01-19 04:48:05;58;67807;F_ARTSTOCK;58;2021-01-19
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;11000.00;0;11000.00;2021-01-24 17:33:54;58;340821;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-24 17:33:54;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-24 17:33:54;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;2000.00;0;2000.00;2021-01-24 19:11:56;58;340822;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-24 19:11:56;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3992.000000;;;19960000.000000;2021-01-24 19:11:56;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;22000.000000;.000000;22000.000000;2021-01-24 19:12:04;58;340821;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3992.000000;;;19960000.000000;2021-01-24 19:12:04;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-24 19:12:04;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;22000.000000;.000000;22000.000000;2021-01-24 19:12:06;58;340817;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-24 19:12:06;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-24 19:12:06;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;2000.000000;.000000;2000.000000;2021-01-24 19:12:09;58;340816;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-24 19:12:09;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-24 19:12:09;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;4000.000000;.000000;4000.000000;2021-01-24 19:12:18;58;340822;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-24 19:12:18;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-24 19:12:18;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;13000.00;0;13000.00;2021-01-24 19:14:32;58;340823;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-24 19:14:32;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-24 19:14:32;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;2.00;13000.;0;13000.;2021-01-24 19:22:46;58;340824;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3998.000000;;;19990000.000000;2021-01-24 19:22:46;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-24 19:22:46;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.00;12500.00;0;12500.00;2021-01-25 08:02:33;58;340825;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-25 08:02:33;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-25 08:02:34;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;10.00;12000.;0;12000.;2021-01-25 08:02:43;58;340826;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-25 08:02:43;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3985.000000;;;19925000.000000;2021-01-25 08:02:43;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;26000.000000;.000000;26000.000000;2021-01-25 08:02:48;58;340823;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3985.000000;;;19925000.000000;2021-01-25 08:02:48;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3987.000000;;;19935000.000000;2021-01-25 08:02:48;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;2.000000;26000.000000;.000000;26000.000000;2021-01-25 08:02:50;58;340824;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3987.000000;;;19935000.000000;2021-01-25 08:02:50;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3989.000000;;;19945000.000000;2021-01-25 08:02:50;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;1.000000;12500.000000;.000000;12500.000000;2021-01-25 08:02:52;58;340825;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3989.000000;;;19945000.000000;2021-01-25 08:02:52;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-25 08:02:52;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06845;2;0;000001C;10.000000;120000.000000;.000000;120000.000000;2021-01-25 08:02:54;58;340826;F_DOCLIGNE;58  ;2021-01-16 00:00:00
suppr_ligne;Artstock;;;2;;000001C;3990.000000;;;19950000.000000;2021-01-25 08:02:54;;49523;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-25 08:02:54;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVY008578;7;0;004107;1.;16800.00;0;16800.00;2021-01-25 11:59:56;20;339657;F_DOCLIGNE;20;2021-01-24
ajout_ligne;Artstock;;;7;;004107;10.000000;;;102336.800000;2021-01-25 11:59:57;;23488;F_ARTSTOCK;16  ;NULL
ajout_ligne;Artstock;;;7;;004107;9.000000;;;92103.120000;2021-01-25 11:59:58;;23488;F_ARTSTOCK;20  ;NULL
modif_ligne;Vente;6;FVY008578;7;0;004107;1.00;12800.00;0;12800.0;2021-01-25 12:00:23;20;339657;F_DOCLIGNE;20  ;2021-01-24 00:00:00
modif_ligne;Artstock;;;7;;004107;9.000000;;;92103.120000;2021-01-25 12:00:23;;23488;F_ARTSTOCK;20  ;NULL
modif_ligne;Artstock;;;7;;004107;9.000000;;;92103.120000;2021-01-25 12:00:24;;23488;F_ARTSTOCK;20  ;NULL
modif_ligne;Vente;6;FVY008578;7;0;004107;10.00;12000.00;0;120000.0;2021-01-25 12:10:12;20;339657;F_DOCLIGNE;20  ;2021-01-24 00:00:00
modif_ligne;Artstock;;;7;;004107;9.000000;;;92103.120000;2021-01-25 12:10:13;;23488;F_ARTSTOCK;20  ;NULL
modif_ligne;Artstock;;;7;;004107;.000000;;;.000000;2021-01-25 12:10:13;;23488;F_ARTSTOCK;20  ;NULL
ajout_ligne;Vente;6;FVSI06853;2;0;30910009;1.;1500.00;0;1500.00;2021-01-30 13:57:58;58;340831;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-30 13:57:58;;34470;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;30910009;19.000000;;;16049.300000;2021-01-30 13:57:58;;34470;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06853;2;0;30910009;1.000000;1500.000000;.000000;1500.000000;2021-01-30 14:26:29;58;340830;F_DOCLIGNE;58  ;2021-01-30 00:00:00
suppr_ligne;Artstock;;;2;;30910009;19.000000;;;16049.300000;2021-01-30 14:26:29;;34470;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-30 14:26:29;;34470;F_ARTSTOCK;58  ;NULL
suppr_ligne;Vente;6;FVSI06853;2;0;30910009;1.000000;1500.000000;.000000;1500.000000;2021-01-30 14:26:31;58;340831;F_DOCLIGNE;58  ;2021-01-30 00:00:00
suppr_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-30 14:26:31;;34470;F_ARTSTOCK;58  ;NULL
suppr_ligne;Artstock;;;2;;30910009;21.000000;;;17738.700000;2021-01-30 14:26:31;;34470;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06853;2;0;30910002;2.;1500.00;0;1500.00;2021-01-30 14:26:36;58;340832;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:34:52;58;340834;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:35:41;58;340835;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:37:39;58;340836;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:38:11;58;340837;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:38:25;58;340838;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:40:15;58;340839;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:40:40;58;340840;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:41:14;58;340841;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Vente;6;FVSI06853;2;0;030910010;1.00;1800.00;0;1800.00;2021-01-30 14:41:25;58;340842;F_DOCLIGNE;58;2021-01-30
ajout_ligne;Artstock;;;2;;030910010;104.000000;;;105452.830000;2021-01-30 14:41:25;;24854;F_ARTSTOCK;58  ;NULL
